date,us_cpi_all_items,us_cpi_all_items_mom_pct,us_cpi_all_items_yoy_pct,us_core_cpi,us_core_cpi_mom_pct,us_core_cpi_yoy_pct,us_pce,us_pce_mom_pct,us_pce_yoy_pct,us_core_pce,us_core_pce_mom_pct,us_core_pce_yoy_pct,us_shelter_cpi,us_shelter_cpi_mom_pct,us_shelter_cpi_yoy_pct,us_energy_cpi,us_energy_cpi_mom_pct,us_energy_cpi_yoy_pct,us_food_cpi,us_food_cpi_mom_pct,us_food_cpi_yoy_pct,uk_cpi_yoy,eu_hicp_yoy,india_cpi_yoy,japan_cpi_yoy,canada_cpi_yoy,brazil_cpi_yoy,south_korea_cpi_yoy
2015-01-01,234.747,,,239.811,,,96.654,,,96.214,,,274.762,,,199.926,,,246.197,,,99.2,98.24,97.1629,99.56732,98.20911,95.36163,99.7702777136
2015-02-01,235.342,0.253,,240.172,0.151,,96.825,0.177,,96.324,0.114,,275.47,0.258,,203.021,1.548,,246.495,0.121,,99.5,98.85,96.78036,99.36371,99.07822,96.52494,99.7112439176303
2015-03-01,235.976,0.269,,240.755,0.243,,97.008,0.189,,96.47,0.152,,276.258,0.286,,205.757,1.348,,246.072,-0.172,,99.6,100.0,97.1629,99.66913,99.78931,97.79915,99.7207314919826
2015-04-01,236.222,0.104,,241.346,0.245,,97.094,0.089,,96.648,0.185,,277.003,0.27,,203.577,-1.06,,246.002,-0.028,,99.9,100.43,97.92796,100.1782,99.7103,98.49356,99.7513025648954
2015-05-01,237.001,0.33,,241.688,0.142,,97.327,0.24,,96.766,0.122,,277.524,0.188,,208.973,2.651,,246.239,0.096,,100.1,100.71,98.69302,100.4836,100.2634,99.22231,100.030658920824
2015-06-01,237.657,0.277,,242.064,0.156,,97.516,0.194,,96.882,0.12,,278.284,0.274,,212.015,1.456,,246.937,0.283,,100.1,100.72,99.84061,100.1782,100.5004,100.0063,100.050688244456
2015-07-01,238.034,0.159,,242.565,0.207,,97.605,0.091,,96.978,0.099,,279.329,0.376,,211.623,-0.185,,247.157,0.089,,100.0,100.11,100.6057,100.0764,100.5794,100.6262,100.230952157149
2015-08-01,238.033,-0.0,,242.817,0.104,,97.612,0.007,,97.056,0.08,,279.921,0.212,,208.579,-1.438,,247.742,0.237,,100.3,100.12,100.9882,100.1782,100.5794,100.8476,100.371157422577
2015-09-01,237.498,-0.225,,243.316,0.206,,97.477,-0.138,,97.196,0.144,,280.737,0.292,,197.246,-5.433,,248.492,0.303,,100.2,100.32,101.7533,100.28,100.4214,101.3921,100.110776215354
2015-10-01,237.733,0.099,,243.768,0.186,,97.477,0.0,,97.228,0.033,,281.429,0.246,,195.616,-0.826,,248.755,0.106,,100.3,100.45,102.9009,100.28,100.5004,102.2234,100.110776215354
2015-11-01,238.017,0.119,,244.241,0.194,,97.538,0.063,,97.332,0.107,,282.129,0.249,,195.114,-0.257,,248.525,-0.092,,100.3,100.01,103.2834,99.87274,100.4214,103.2558,99.9210247283084
2015-12-01,237.761,-0.108,,244.547,0.125,,97.456,-0.084,,97.396,0.066,,282.779,0.23,,190.143,-2.548,,248.206,-0.128,,100.4,100.03,102.9009,99.87274,99.94733,104.247,100.220410407869
2016-01-01,237.652,-0.046,1.238,244.955,0.167,2.145,97.496,0.041,0.871,97.567,0.176,1.406,283.714,0.331,3.258,185.235,-2.581,-7.348,248.353,0.059,0.876,99.9,98.56,102.9009,99.46552,100.1844,105.5709,100.39118674621
2016-02-01,237.336,-0.133,0.847,245.51,0.227,2.223,97.445,-0.052,0.64,97.736,0.173,1.466,284.502,0.278,3.279,176.401,-4.769,-13.112,248.606,0.102,0.856,100.1,98.73,102.1358,99.56732,100.4214,106.521,100.821290116846
2016-03-01,238.08,0.313,0.892,245.913,0.164,2.142,97.673,0.234,0.686,97.876,0.143,1.457,285.122,0.218,3.209,182.234,3.307,-11.432,248.029,-0.232,0.795,100.4,99.96,102.5183,99.66913,101.0535,106.9789,100.560908909623
