year,country_code,country_name,cpi_annual_pct
2018,AR,Argentina,34.277
2019,AR,Argentina,53.548
2020,AR,Argentina,42.015
2021,AR,Argentina,48.409
2022,AR,Argentina,72.431
2023,AR,Argentina,133.489
2024,AR,Argentina,219.884
2015,AU,Australia,1.508
2016,AU,Australia,1.277
2017,AU,Australia,1.949
2018,AU,Australia,1.911
2019,AU,Australia,1.611
2020,AU,Australia,0.847
2021,AU,Australia,2.864
2022,AU,Australia,6.594
2023,AU,Australia,5.597
2024,AU,Australia,3.167
2015,BR,Brazil,9.03
2016,BR,Brazil,8.739
2017,BR,Brazil,3.446
2018,BR,Brazil,3.665
2019,BR,Brazil,3.733
2020,BR,Brazil,3.212
2021,BR,Brazil,8.302
2022,BR,Brazil,9.28
2023,BR,Brazil,4.594
2024,BR,Brazil,4.367
2015,CA,Canada,1.125
2016,CA,Canada,1.429
2017,CA,Canada,1.597
2018,CA,Canada,2.268
2019,CA,Canada,1.949
2020,CA,Canada,0.717
2021,CA,Canada,3.395
2022,CA,Canada,6.803
2023,CA,Canada,3.879
2024,CA,Canada,2.382
2015,CH,Switzerland,-1.144
2016,CH,Switzerland,-0.435
2017,CH,Switzerland,0.534
2018,CH,Switzerland,0.936
2019,CH,Switzerland,0.363
2020,CH,Switzerland,-0.726
2021,CH,Switzerland,0.582
2022,CH,Switzerland,2.835
2023,CH,Switzerland,2.135
2024,CH,Switzerland,1.062
2015,CN,China,1.437
2016,CN,China,2.0
2017,CN,China,1.593
2018,CN,China,2.075
2019,CN,China,2.899
2020,CN,China,2.419
2021,CN,China,0.981
2022,CN,China,1.974
2023,CN,China,0.235
2024,CN,China,0.218
2015,CZ,Czechia,0.309
2016,CZ,Czechia,0.684
2017,CZ,Czechia,2.451
2018,CZ,Czechia,2.149
2019,CZ,Czechia,2.848
2020,CZ,Czechia,3.161
2021,CZ,Czechia,3.84
2022,CZ,Czechia,15.1
2023,CZ,Czechia,10.661
2024,CZ,Czechia,2.435
2015,EG,"Egypt, Arab Rep.",10.37
2016,EG,"Egypt, Arab Rep.",13.814
2017,EG,"Egypt, Arab Rep.",29.507
2018,EG,"Egypt, Arab Rep.",14.401
2019,EG,"Egypt, Arab Rep.",9.153
2020,EG,"Egypt, Arab Rep.",5.045
2021,EG,"Egypt, Arab Rep.",5.214
2022,EG,"Egypt, Arab Rep.",13.896
2023,EG,"Egypt, Arab Rep.",33.885
2024,EG,"Egypt, Arab Rep.",28.271
2015,GB,United Kingdom,0.368
2016,GB,United Kingdom,1.008
2017,GB,United Kingdom,2.558
2018,GB,United Kingdom,2.293
2019,GB,United Kingdom,1.738
2020,GB,United Kingdom,0.989
2021,GB,United Kingdom,2.518
2022,GB,United Kingdom,7.922
2023,GB,United Kingdom,6.794
2024,GB,United Kingdom,3.272
2015,HU,Hungary,-0.062
2016,HU,Hungary,0.395
2017,HU,Hungary,2.348
2018,HU,Hungary,2.85
2019,HU,Hungary,3.339
2020,HU,Hungary,3.327
2021,HU,Hungary,5.111
2022,HU,Hungary,14.608
